Type,Try,Target,Assistant,Error,Time,v1,v3
6,4,32,1,6,3897,5.080496,1.4460979
6,4,42,1,5,4331,2.4899697,1.3790601
6,4,25,1,0,1544,4.596867,1.8770541
6,4,5,1,0,2154,4.0797195,1.9680338
6,4,21,1,0,828,3.9360676,3.4763808
7,0,68,0,0,1745,2.7964275,1.0965444
7,0,79,0,0,1417,0.23463176,1.1061212
7,0,65,1,0,1803,1.436521,1.8148049
7,0,45,1,0,2347,1.0151415,1.2641385
7,0,67,0,0,1026,1.8914193,2.1691468
7,0,87,0,0,996,0.12449849,0.82360536
7,0,51,0,0,1111,3.7445314,2.3080103
7,0,96,1,0,2846,0.94331545,0.20590134
7,0,70,0,0,964,0.92416185,0.91937345
7,0,89,1,0,2160,0.8619126,0.51714754
7,0,10,1,0,2851,1.3551182,0.34476504
7,0,45,0,0,1122,3.6727054,1.8626889
7,0,49,1,0,1866,2.1308396,2.2984335
7,0,66,0,0,1181,2.920926,2.054225
7,0,4,1,0,2125,2.2840683,1.8674773
7,0,58,1,0,1891,1.3694834,1.8100165
7,0,0,1,0,2114,2.255338,2.3223755
7,0,59,0,0,934,3.064578,2.1739352
7,0,46,0,1,1350,3.0502129,2.480393
7,0,64,1,0,1903,2.1547816,2.1739352
7,0,34,1,0,2334,0.2825158,0.39743748
7,0,110,0,0,1002,0.36870706,0.20590134
7,0,72,1,0,1832,1.5370775,1.3838485
7,0,16,1,0,2542,1.0390835,1.4556746
7,0,1,1,0,2227,1.3742718,2.3463178
7,0,30,1,0,2258,0.15801731,0.6991069
7,0,108,0,0,1032,0.7326257,1.0247183
7,0,44,2,0,3643,1.3599066,0.63206923
7,0,23,1,0,2085,0.47884035,0.49320555
7,0,17,1,0,1879,1.3311762,0.5793968
7,1,68,0,0,729,1.9967642,1.8291701
7,1,16,1,0,2464,1.3982137,1.3551182
7,1,88,1,0,2688,0.8523358,0.9768343
7,1,3,1,0,2013,2.384625,2.3702598
7,1,41,1,0,2007,2.9352913,2.825158
7,1,31,0,0,1028,3.1028855,2.8203697
7,1,106,1,0,2513,1.9297266,1.2976574
7,1,83,0,1,1687,2.183512,0.6464345
7,1,77,0,0,898,1.2785037,1.0821792
7,1,18,1,0,2019,0.5602432,0.8475474
7,1,101,0,0,975,0.9528923,0.89064306
7,1,63,0,0,993,1.2066777,0.8283938
7,1,66,1,0,1681,1.340753,1.1779473
7,1,76,0,0,967,1.6472107,0.8475474
7,1,78,0,0,895,1.163582,0.8619126
7,1,60,0,0,893,2.4468741,1.5945383
7,1,14,1,0,1960,1.0199299,0.9816227
7,1,61,0,0,1078,1.9728222,1.6424223
7,1,56,1,0,1772,2.1883004,2.0733786
7,1,35,1,0,2338,0.076614454,0.8571242
7,1,100,0,0,972,1.0534488,0.8283938
7,1,30,1,0,2065,0.5315128,0.770933
7,1,105,1,0,2143,2.5905263,2.6671407
7,1,44,0,0,1153,2.6671407,2.4468741
7,1,111,0,0,1084,0.5506664,0.23463176
7,1,29,1,0,1836,0.8331822,0.5267244
7,1,13,1,0,1937,1.5945383,1.3503298
7,1,99,0,0,986,1.9728222,0.7182605
7,1,108,0,0,925,1.2210429,0.7038953
7,1,9,1,0,1885,1.5705963,1.6184803
7,2,68,0,0,694,1.9919758,1.2114661
7,2,85,0,0,678,1.1779473,1.3934253
7,2,10,1,0,1930,0.7469909,1.2401965
7,2,77,0,0,891,0.7422025,0.93852705
7,2,31,1,0,2051,0.16280572,0.2633622
7,2,86,0,0,866,0.31124622,0.32561144
7,2,55,0,0,1027,1.7429788,1.2976574
7,2,61,0,1,1419,2.27928,1.2066777
7,2,57,1,0,1854,1.5610195,1.7812861
7,2,92,0,0,973,0.7757214,1.3120226
7,2,33,1,0,2030,0.9576807,1.3263878
7,2,53,0,0,1135,2.5713725,1.7908629
7,2,107,1,0,3252,0.5410896,0.5554548
